Столы/Письменные столы,Письменный стол из массива карагача,https://drevodesign.ru/upload/resize_cache/iblock/b9e/244_244_0/9zg9hanw5i8jg4l2pjqkjy4b0wc6p593.png,0835,https://drevodesign.ru/product/stoly/pismennye-stoly/pismennyy-stol-iz-massiva-karagacha/,105 000 руб.,"Очередной великолепный и стильный письменный стол от нашей команды мастеров. Изделие полностью изготовленно из массива карагача (горный вяз). За основу мы взяли две заготовки которые прекрасно сочетаются друг с другом и обладают очень красивым древесным рисунком. Стол оборудован двумя выдвижными ящиками для удобства работы, фасады которых украшены вырезанным рисунком. Каждая деталь прошла несколько стадий ручной шлифовки, финишное покрытие выполнено полиуретановым лаком. Толщина столешницы составляет 35 мм. Возможно изготовление под заказ с соблюдением всех ваших пожеланий.",Да
Столы/Письменные столы,"Письменный стол ""Smoke""",https://drevodesign.ru/upload/resize_cache/iblock/30c/244_244_0/j4h4ln3gxy8qm6cf4um8k5qbxyoygafm.png,0836,https://drevodesign.ru/product/stoly/pismennye-stoly/pismennyy-stol-smoke/,120 000 руб.,"Вашему вниманию представлена еще одна эксклюзивная модель письменного стола от нашей команды мастеров, великолепный стол ""Smoke"". За основу изделия мы взяли заготовку карагача, как следует поработали с ней и в конце получили восхитительное изделие. Края столешницы, а так же все трещинки и сучки данной заготовки мы пролили эпоксидной смолой, чтобы поверхность идеально ровной, и притягивала взгляды снова и снова. Финишное покрытие сделано полиуретановым лаком и прошло несколько стадий ручной полировки. Выдвижные ящики оборудованы фурнитурой высокого качества, открывание нажатием. Высота изделия составляет 75 см. Возможно изготовление под заказ по индивидуальным размерам.",Да
Стулья,Суперстул,https://drevodesign.ru/upload/resize_cache/iblock/c64/244_244_0/ihg4k2fdbc1330d6k5dm1u0xu9hdqnbe.jpg,0000,https://drevodesign.ru/product/stulya/superstul/,1 руб.,Всегда можно выбрать стул попроще,Да
Стулья,Дизайнерский стул,https://drevodesign.ru/upload/resize_cache/iblock/ba4/244_244_0/69zwjq6cfeg2to7dtapi0myya0gl018c.png,0302,https://drevodesign.ru/product/stulya/dizaynerskiy-stul/,20 000 руб.,Оригинальный по своему дизайну стул из натурального дерева. Обладает надежной устойчивостью при нестандартной конструкции.,Да
Стулья,Комплект кресел из массива в зону отдыха,https://drevodesign.ru/upload/resize_cache/iblock/5a2/244_244_0/823036wcz6yy3pdc06628ll9659el2iw.png,0306,https://drevodesign.ru/product/stulya/komplekt-kresel-iz-massiva-v-zonu-otdykha/,По запросу,"Данные комплект кресел можно назвать настоящим декоративным, эксклюзивным элементом вашей зоны отдыха. Изделия выполнены из массива карагача, ножки металлические. Конструктив изделия исполнен путем соединения между собой большого количества пятиугольных деталей, весь материал отбирался и обрабатывался вручную, далее была кропотливая работа по сборке, но результат оказался просто роскошным. В комплект к креслам идет мягкая накладка для осуществления более комфортной посадки, а так же журнальный столик с эпоксидной смолой в подобном стиле, его диаметр 60 см, основание изготовлено из металла. Возможны различные цветовые исполнения. Стоимость одного кресла 55 000 руб, стоимость столика 28 000 руб.",Да
Стулья,"Стул из массива карагача ""Retro""",https://drevodesign.ru/upload/resize_cache/iblock/4ee/244_244_0/7az0qqmv5ym49fbtig5mbl6062rr2fx8.png,0308,https://drevodesign.ru/product/stulya/stul-iz-massiva-karagacha-retro/,29 000 руб.,"Еще одна разработка наших мастеров, стул из массива карагача ""Retro"". Все элементы изделия обладает мягкими, изогнутыми линиями, которые придают стулу очень гармоничный вид. Каждая деталь вскрыта экологически-чистым маслом немецкого производителя и идеально отшлифована, очень приятна на ощупь. Изделие возможно затонировать в различные оттенки. Полные габариты изделия следующие: высота по спинке 825 мм., высота гнутой спинки 150 мм., ширина спинки 415 мм., ширина сиденья 360-400 мм., глубина сиденья 400 мм., высота сиденья 450 мм впереди 425 мм сзади.",Да
Стулья,"Стул из массива ""Grace""",https://drevodesign.ru/upload/resize_cache/iblock/432/244_244_0/svlv16664s9dsko5e452pi89a9n5n3s3.png,0307,https://drevodesign.ru/product/stulya/stul-iz-massiva-grace/,От 25 000 руб.,"Необычайно красивый и гармоничный стул из массива от нашей команды мастеров. Данная модель отличается невероятным удобством посадки и мягкими линиями. Времяпреровождение сидя на данном стуле придаст море приятных ощущений, проводите время за трапезой или общением с комфортом!  Мягкая часть изделия может быть выполнена из различных видов ткани и цветовой гамме. Древесина так же может быть в различных цветовых оттенках. Высота сидения составляет 44 см, высота по спинке 73 см.",Да
Зеркала и предметы декора,Зеркало в светлых оттенках,https://drevodesign.ru/upload/resize_cache/iblock/368/244_244_0/koobzmua5j91u7wybfzio5unc6yh7ja7.png,0756,https://drevodesign.ru/product/zerkala-i-predmety-dekora/zerkalo-v-svetlykh-ottenkakh/,19 000 руб.,Зеркало в раме из карагача с переходящим цветом дерева.,Да
Ванная комната,"Зеркало ""Классика""",https://drevodesign.ru/upload/resize_cache/iblock/8b4/244_244_0/fgk7jpkifx8e09wn2fa4rajrk1t11i6l.png,0729,https://drevodesign.ru/product/vannaya-komnata/zerkalo-klassika/,14 500 руб.,Стильное зеркало в раме из карагача под любой интерьер.,Да
Зеркала и предметы декора,Зеркало в раме из карагача,https://drevodesign.ru/upload/resize_cache/iblock/d1d/244_244_0/qlq3e0fxmyb38i5v0l81kl4x30qobjqy.png,0746,https://drevodesign.ru/product/zerkala-i-predmety-dekora/zerkalo-v-rame-iz-karagacha1/,20 000 руб.,"Красивое большое зеркало в раме из слэбов карагача. Возможно использовать зеркало горизонтально или вертикально любой стороной, петли с обратной стороны на всех 4 углах.",Да
